Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
PJ,Hughes,3,69.16,709,58.53,Left-hand bat,-,-,-,-,-,
SM,Katich,38,43.42,5403,49.02,Left-hand bat,143.1,29.61,47.7,3.72,lc,
RT,Ponting,131,56.20,18527,59.15,Right-hand bat,89.5,48.40,107.8,2.69,rm,
MEK,Hussey,37,55.29,6306,48.22,Left-hand bat,28.0,100.00,168.0,3.57,rm,
MJ,Clarke,47,47.82,6057,52.89,Right-hand bat,237.4,37.77,79.2,2.86,lo,
BJ,Haddin,15,37.54,1694,53.18,Right-hand bat,-,-,-,-,-,
AB,McDonald,4,21.40,217,49.30,Right-hand bat,122.0,33.33,81.3,2.45,rfm,
MG,Johnson,21,34.70,1104,62.86,Left-hand bat,885.2,28.01,56.5,2.97,lf,
PM,Siddle,7,11.77,225,47.11,Right-hand bat,311.1,27.65,64.3,2.57,rfm,
BE,McGain,1,1.00,16,12.50,Right-hand bat,18.0,-,-,8.27,rls,
BW,Hilfenhaus,3,7.00,34,82.35,Right-hand bat,125.0,52.28,107.1,2.92,rfm,
I,Khan,1,20.00,64,31.25,Left-hand bat,-,-,-,-,rob,
AG,Prince,48,47.29,6925,44.38,Left-hand bat,16.0,47.00,96.0,2.93,rob,
HM,Amla,37,40.32,4996,49.23,Right-hand bat,7.0,-,-,4.00,-,
JH,Kallis,131,54.66,23276,44.15,Right-hand bat,2840.0,31.08,66.0,2.82,rfm,
AB,de Villiers,52,43.92,6707,53.04,Right-hand bat,33.0,49.50,99.0,3.00,rm,
JP,Duminy,6,48.62,959,40.56,Left-hand bat,35.0,62.50,105.0,3.57,rob,
MV,Boucher,126,29.85,9514,49.27,Right-hand bat,1.2,6.00,8.0,4.50,rm,
JA,Morkel,1,58.00,71,81.69,Left-hand bat,32.0,132.00,192.0,4.12,rmf,
PL,Harris,24,10.48,965,31.50,Right-hand bat,846.4,32.60,71.5,2.73,lo,
DW,Steyn,33,11.90,927,42.39,Right-hand bat,1112.4,23.70,39.2,3.62,rf,
M,Ntini,99,9.69,1399,49.17,Right-hand bat,3402.2,28.37,52.6,3.23,rf,
