Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
AN,Cook,96,48.08,16444,47.08,Left-hand bat,1.0,-,-,1.00,-,
JE,Root,10,40.23,1628,42.01,Right-hand bat,30.0,23.66,60.0,2.36,rob,
IJL,Trott,47,47.33,7690,47.39,Right-hand bat,114.0,96.50,171.0,3.38,rm,
KP,Pietersen,98,48.29,12476,62.31,Right-hand bat,214.3,86.90,128.7,4.05,rob,
IR,Bell,92,46.89,12951,49.61,Right-hand bat,18.0,76.00,108.0,4.22,rm,
JM,Bairstow,12,30.22,1128,48.22,Right-hand bat,-,-,-,-,rm,
MJ,Prior,71,42.31,6073,62.01,Right-hand bat,-,-,-,-,-,
TT,Bresnan,21,30.05,1367,39.57,Right-hand bat,716.3,32.10,64.1,3.00,rmf,
SCJ,Broad,61,24.94,2933,62.93,Left-hand bat,2113.1,30.50,59.8,3.05,rfm,
GP,Swann,56,23.21,1710,76.02,Right-hand bat,2376.1,28.35,58.1,2.92,rob,
JM,Anderson,86,10.58,2004,39.07,Left-hand bat,3165.2,30.20,58.6,3.09,rfm,
CJL,Rogers,5,36.30,746,48.65,Left-hand bat,-,-,-,-,rls,
DA,Warner,21,38.41,1995,69.32,Left-hand bat,44.0,51.25,66.0,4.65,rls,
UT,Khawaja,9,25.13,939,40.14,Left-hand bat,-,-,-,-,rm,
MJ,Clarke,96,52.19,13626,55.92,Right-hand bat,383.0,37.50,76.6,2.93,lo,
SPD,Smith,11,29.52,1281,48.39,Right-hand bat,95.0,46.62,71.2,3.92,rls,
SR,Watson,45,34.51,5557,50.31,Right-hand bat,731.3,31.57,68.5,2.76,rfm,
BJ,Haddin,48,34.50,4383,56.67,Right-hand bat,-,-,-,-,-,
PM,Siddle,45,14.89,1830,46.39,Right-hand bat,1600.5,28.58,57.5,2.98,rfm,
RJ,Harris,15,18.46,518,53.47,Right-hand bat,514.3,22.32,46.0,2.90,rf,
NM,Lyon,24,13.55,657,37.13,Right-hand bat,886.5,32.40,63.3,3.06,rob,
JM,Bird,3,7.00,53,13.20,Right-hand bat,105.3,23.30,48.6,2.87,rfm,
