Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
EJM,Cowan,16,33.03,2238,41.33,Left-hand bat,-,-,-,-,rls,
DA,Warner,18,41.83,1789,70.15,Left-hand bat,44.0,51.25,66.0,4.65,rls,
MJ,Clarke,92,52.33,13033,55.81,Right-hand bat,382.0,37.43,76.4,2.93,lo,
PJ,Hughes,23,33.35,2616,53.55,Left-hand bat,-,-,-,-,-,
SPD,Smith,6,32.36,660,53.93,Right-hand bat,72.0,70.75,108.0,3.93,rls,
BJ,Haddin,44,35.50,4024,57.35,Right-hand bat,-,-,-,-,-,
MC,Henriques,3,31.20,318,49.05,Right-hand bat,53.0,77.50,159.0,2.92,rfm,
PM,Siddle,40,14.31,1461,47.02,Right-hand bat,1430.0,28.77,57.5,2.99,rfm,
MA,Starc,9,32.70,497,65.79,Left-hand bat,288.2,34.03,57.6,3.54,lf,
NM,Lyon,21,13.68,593,36.93,Right-hand bat,768.0,35.17,68.7,3.06,rob,
XJ,Doherty,4,12.75,159,32.07,Left-hand bat,153.0,78.28,131.1,3.58,lo,
M,Vijay,15,38.84,1994,48.69,Right-hand bat,-,-,-,-,rob,
S,Dhawan,1,187.00,174,107.47,Left-hand bat,-,-,-,-,rob,
CA,Pujara,12,61.52,2074,50.43,Right-hand bat,-,-,-,-,rls,
SR,Tendulkar,197,54.12,,,Right-hand bat,699.4,54.68,93.2,3.51,-,
V,Kohli,17,43.57,2435,46.52,Right-hand bat,11.0,-,-,3.18,rm,
MS,Dhoni,76,39.74,6973,59.84,Right-hand bat,13.0,-,-,4.46,rm,
RA,Jadeja,4,13.50,103,52.42,Left-hand bat,218.2,21.90,65.5,2.00,lo,
R,Ashwin,15,37.75,940,64.25,Right-hand bat,856.0,29.56,60.4,2.93,rob,
B,Kumar,3,22.00,172,38.37,Right-hand bat,53.0,31.16,53.0,3.52,rm,
I,Sharma,50,10.00,1569,28.68,Right-hand bat,1625.3,38.46,69.1,3.33,rfm,
PP,Ojha,21,10.87,484,17.97,Left-hand bat,1168.4,31.79,70.8,2.69,lo,
