Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
DA,Warner,38,46.82,4344,74.37,Left-hand bat,50.0,56.75,75.0,4.54,rls,
SE,Marsh,14,35.79,1842,46.63,Left-hand bat,-,-,-,-,lo,
SPD,Smith,28,56.23,4735,54.63,Right-hand bat,179.0,51.73,71.6,4.33,rls,
MJ,Clarke,110,50.66,15215,55.93,Right-hand bat,405.5,38.19,78.5,2.91,lo,
AC,Voges,2,167.00,328,50.91,Right-hand bat,2.0,-,-,7.50,lo,
SR,Watson,58,35.40,6979,52.75,Right-hand bat,902.5,33.05,72.2,2.74,rfm,
BJ,Haddin,65,33.37,5529,58.54,Right-hand bat,-,-,-,-,-,
MG,Johnson,66,22.80,3248,58.28,Left-hand bat,2452.4,27.58,50.5,3.27,lf,
MA,Starc,17,27.27,720,68.19,Left-hand bat,583.0,32.20,58.3,3.31,lf,
JR,Hazlewood,5,47.50,198,47.97,Left-hand bat,182.1,19.08,45.5,2.51,rfm,
NM,Lyon,41,15.07,1029,39.55,Right-hand bat,1609.5,34.73,66.1,3.15,rob,
KC,Brathwaite,22,33.85,3251,41.64,Right-hand bat,43.4,123.00,262.0,2.81,rob,
R,Chandrika,1,0.00,9,0.00,Right-hand bat,-,-,-,-,rob,
DM,Bravo,37,41.22,5584,46.50,Left-hand bat,1.0,-,-,2.00,rm,
SO,Dowrich,2,25.50,283,36.04,Right-hand bat,-,-,-,-,-,
SD,Hope,3,15.66,227,41.40,Right-hand bat,-,-,-,-,-,
J,Blackwood,10,41.26,1114,55.56,Right-hand bat,32.3,66.00,97.5,4.06,rob,
D,Ramdin,69,26.28,5472,49.47,Right-hand bat,-,-,-,-,-,
JO,Holder,8,34.54,589,64.51,Right-hand bat,206.5,35.37,77.5,2.73,rmf,
V,Permaul,6,12.25,138,71.01,Right-hand bat,228.3,43.77,76.1,3.44,lo,
KAJ,Roach,32,9.02,1136,32.57,Right-hand bat,1051.5,27.83,52.5,3.17,rfm,
JE,Taylor,41,13.64,1262,61.64,Right-hand bat,1203.5,33.45,59.2,3.39,rf,
