Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
KL,Rahul,36,34.58,3553,56.45,Right-hand bat,-,-,-,-,-,
MA,Agarwal,4,39.28,573,47.99,Right-hand bat,-,-,-,-,-,
CA,Pujara,70,49.87,11830,46.37,Right-hand bat,1.0,-,-,2.00,rls,
V,Kohli,79,53.14,11838,57.01,Right-hand bat,27.1,-,-,2.79,rm,
AM,Rahane,58,42.23,7456,50.41,Right-hand bat,-,-,-,-,rm,
GH,Vihari,6,45.60,943,48.35,Right-hand bat,48.3,28.40,58.2,2.92,rob,
RR,Pant,11,44.35,1065,70.79,Left-hand bat,-,-,-,-,-,
RA,Jadeja,43,32.50,2481,62.87,Left-hand bat,1968.4,23.89,59.6,2.40,lo,
I,Sharma,92,8.46,2353,29.87,Right-hand bat,2915.4,33.41,62.9,3.18,rfm,
Mohammed,Shami,42,10.56,585,74.01,Right-hand bat,1311.2,28.84,51.4,3.36,rf,
JJ,Bumrah,12,2.00,121,14.87,Right-hand bat,451.5,19.24,43.7,2.64,rf,
KC,Brathwaite,58,33.75,8526,40.78,Right-hand bat,316.3,56.94,105.5,3.23,rob,
JD,Campbell,5,24.88,392,57.14,Left-hand bat,10.1,-,-,2.95,rob,
DM,Bravo,54,37.69,7799,44.95,Left-hand bat,1.0,-,-,2.00,rm,
SSJ,Brooks,2,15.75,161,39.13,Right-hand bat,-,-,-,-,rls,
RL,Chase,31,31.94,3496,48.42,Right-hand bat,718.2,44.28,76.9,3.45,rob,
SO,Hetmyer,15,28.44,1117,73.85,Left-hand bat,-,-,-,-,-,
JO,Holder,39,33.10,3164,59.63,Right-hand bat,1067.0,27.26,63.3,2.58,rmf,
JN,Hamilton,1,2.50,61,8.19,Right-hand bat,-,-,-,-,-,
RRS,Cornwall,1,7.50,33,45.45,Right-hand bat,64.0,57.66,128.0,2.70,rob,
KAJ,Roach,55,12.31,2241,39.58,Right-hand bat,1658.0,26.94,51.5,3.13,rfm,
ST,Gabriel,45,4.76,534,37.45,Right-hand bat,1205.4,30.63,54.3,3.37,rf,
