Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Mohammad,Hafeez,40,37.71,4775,55.28,Right-hand bat,579.5,35.23,80.9,2.61,rob,
Shan,Masood,4,20.62,411,40.14,Left-hand bat,-,-,-,-,rmf,
Azhar,Ali,39,41.31,7206,39.56,Right-hand bat,37.0,66.00,111.0,3.56,rls,
Younis,Khan,96,53.37,15952,52.20,Right-hand bat,134.0,54.55,89.3,3.66,-,
Misbah-ul-Haq,,53,49.15,8673,43.07,Right-hand bat,-,-,-,-,rls,
Asad,Shafiq,33,40.23,4231,44.69,Right-hand bat,-,-,-,-,rob,
Sarfaraz,Ahmed,13,43.78,1164,71.47,Right-hand bat,-,-,-,-,rob,
Yasir,Shah,5,10.00,118,33.89,Right-hand bat,218.4,26.29,48.5,3.24,rls,
Mohammad,Talha,4,8.50,72,47.22,Right-hand bat,123.2,56.00,82.2,4.08,rmf,
Rahat,Ali,11,10.22,224,41.07,Right-hand bat,373.4,36.67,72.3,3.04,lfm,
Zulfiqar,Babar,7,19.50,71,54.92,Right-hand bat,345.2,34.18,62.7,3.26,lo,
TWM,Latham,7,46.07,1394,42.96,Left-hand bat,-,-,-,-,rm,
BB,McCullum,90,38.19,9179,61.58,Right-hand bat,22.1,66.00,133.0,2.97,-,
KS,Williamson,37,41.21,5924,44.53,Right-hand bat,290.1,40.66,72.5,3.36,rob,
LRPL,Taylor,60,45.95,7979,57.02,Right-hand bat,16.0,24.00,48.0,3.00,rob,
CJ,Anderson,10,30.46,771,59.27,Left-hand bat,166.0,36.38,76.6,2.84,lmf,
DL,Vettori,113,30.00,7787,58.18,Left-hand bat,4802.2,34.36,79.5,2.59,lo,
BJ,Watling,27,34.97,3350,41.76,Right-hand bat,-,-,-,-,-,
MD,Craig,6,42.71,596,50.16,Left-hand bat,248.1,41.24,59.5,4.15,rob,
TG,Southee,37,18.34,1180,85.50,Right-hand bat,1292.1,30.67,60.5,3.03,rmf,
IS,Sodhi,11,25.92,553,60.94,Right-hand bat,375.4,52.81,83.4,3.79,rls,
TA,Boult,28,17.00,586,52.21,Right-hand bat,954.4,27.85,57.8,2.88,lfm,
