Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Mohammad,Hafeez,28,38.46,3505,53.78,Right-hand bat,402.2,33.89,83.2,2.44,rob,
Taufeeq,Umar,42,39.32,6524,44.60,Left-hand bat,13.0,-,-,3.38,rob,
Azhar,Ali,23,44.07,4244,39.46,Right-hand bat,15.0,54.00,90.0,3.60,rls,
Younis,Khan,78,52.36,12386,52.84,Right-hand bat,113.0,58.85,96.8,3.64,-,
Misbah-ul-Haq,,35,46.64,5447,41.10,Right-hand bat,-,-,-,-,rls,
Asad,Shafiq,15,35.95,1756,40.94,Right-hand bat,-,-,-,-,rob,
Adnan,Akmal,15,25.40,850,44.82,Right-hand bat,-,-,-,-,-,
Abdur,Rehman,17,15.21,677,42.68,Left-hand bat,892.2,28.40,66.0,2.57,lo,
NT,Paranavitana,29,32.48,3868,41.98,Left-hand bat,17.0,86.00,102.0,5.05,rob,
TM,Dilshan,81,41.21,7628,65.91,Right-hand bat,438.1,41.87,82.1,3.05,rob,
KC,Sangakkara,110,56.63,18098,54.13,Left-hand bat,13.0,-,-,3.23,rob,
DPMD,Jayawardene,132,50.80,20335,51.71,Right-hand bat,92.1,49.50,92.1,3.22,rm,
TT,Samaraweera,75,51.48,10992,47.30,Right-hand bat,220.1,45.80,88.0,3.12,rob,
S,Randiv,10,7.61,330,30.00,Right-hand bat,443.1,36.39,69.9,3.12,rob,
AD,Mathews,25,39.78,2631,48.38,Right-hand bat,178.0,70.50,133.5,3.16,rm,
HAPW,Jayawardene,47,31.81,3495,50.07,Right-hand bat,-,-,-,-,-,
KMDN,Kulasekara,14,14.55,603,43.44,Right-hand bat,347.4,34.22,67.2,3.05,rfm,
HMRKB,Herath,39,14.69,1274,49.60,Left-hand bat,1688.2,32.29,68.9,2.81,lo,
N,Pradeep,3,0.50,15,13.33,Right-hand bat,84.0,345.00,504.0,4.10,rfm,
Saeed,Ajmal,22,11.38,586,40.78,Right-hand bat,1195.5,27.50,61.8,2.66,rob,
Aizaz,Cheema,7,-,23,4.34,Right-hand bat,200.0,31.90,60.0,3.19,rmf,
Junaid,Khan,7,3.20,44,36.36,Right-hand bat,211.1,28.85,60.3,2.86,lf,
