Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
RJ,Burns,12,29.25,1575,44.57,Left-hand bat,-,-,-,-,rm,
JL,Denly,8,28.56,1046,43.69,Right-hand bat,25.0,-,-,4.16,rls,
JE,Root,86,47.91,12870,54.72,Right-hand bat,356.0,48.17,92.8,3.11,rob,
BA,Stokes,57,35.57,6143,58.48,Left-hand bat,1316.3,32.71,58.5,3.35,rfm,
JM,Bairstow,69,35.26,7286,55.17,Right-hand bat,-,-,-,-,rm,
JC,Buttler,36,33.94,3404,57.84,Right-hand bat,-,-,-,-,-,
SM,Curran,11,30.05,857,63.12,Left-hand bat,183.5,29.00,52.5,3.31,lmf,
CR,Woakes,31,27.92,2291,49.97,Right-hand bat,879.2,31.29,59.9,3.13,rfm,
JC,Archer,4,6.85,114,42.10,Right-hand bat,156.0,20.27,42.5,2.85,rf,
MJ,Leach,9,18.36,487,41.47,Left-hand bat,298.2,26.06,55.9,2.79,lo,
SCJ,Broad,132,19.08,4887,64.43,Left-hand bat,4491.4,28.67,57.7,2.98,rfm,
DA,Warner,79,45.47,8724,74.02,Left-hand bat,57.0,67.25,85.5,4.71,rls,
MS,Harris,9,24.06,737,52.23,Left-hand bat,-,-,-,-,-,
M,Labuschagne,9,37.53,1124,50.08,Right-hand bat,78.0,30.00,46.8,3.84,rls,
SPD,Smith,68,64.56,12367,56.38,Right-hand bat,228.1,55.76,80.5,4.15,rls,
MS,Wade,27,29.82,2427,50.39,Left-hand bat,2.0,-,-,3.50,rm,
MR,Marsh,32,25.20,2486,50.68,Right-hand bat,475.3,38.64,67.9,3.41,rm,
TD,Paine,26,31.45,2645,44.00,Right-hand bat,-,-,-,-,rm,
PJ,Cummins,25,18.15,1533,39.07,Right-hand bat,944.3,21.45,46.0,2.79,rf,
PM,Siddle,67,14.73,2468,47.16,Right-hand bat,2317.5,30.66,62.9,2.92,rfm,
NM,Lyon,91,12.23,2135,46.97,Right-hand bat,3893.2,32.30,64.3,3.01,rob,
JR,Hazlewood,48,12.40,898,44.20,Left-hand bat,1757.1,26.57,57.2,2.78,rfm,
