Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
TWM,Latham,4,39.62,801,39.57,Left-hand bat,-,-,-,-,rm,
HD,Rutherford,14,27.08,1143,56.86,Left-hand bat,-,-,-,-,lo,
KS,Williamson,34,40.28,5519,43.06,Right-hand bat,290.1,40.66,72.5,3.36,rob,
LRPL,Taylor,57,46.43,7645,57.09,Right-hand bat,16.0,24.00,48.0,3.00,rob,
BB,McCullum,87,37.10,8766,60.52,Right-hand bat,6.0,-,-,3.00,-,
JDS,Neesham,4,64.00,603,74.29,Left-hand bat,55.1,49.75,82.7,3.60,rmf,
BJ,Watling,24,37.11,3068,42.34,Right-hand bat,-,-,-,-,-,
TG,Southee,34,18.34,1057,86.75,Right-hand bat,1184.1,29.83,57.7,3.09,rmf,
MD,Craig,3,64.00,273,46.88,Left-hand bat,117.0,40.83,58.5,4.18,rob,
N,Wagner,15,12.25,519,37.76,Left-hand bat,545.4,33.89,59.5,3.41,lmf,
TA,Boult,25,16.76,521,54.70,Right-hand bat,845.4,27.45,55.7,2.95,lfm,
CH,Gayle,102,42.00,11855,60.23,Left-hand bat,1167.5,42.63,97.3,2.62,rob,
KC,Brathwaite,12,28.72,1677,37.68,Right-hand bat,7.4,50.00,46.0,6.52,rob,
KA,Edwards,15,34.21,1978,48.43,Right-hand bat,4.0,-,-,4.75,rob,
DM,Bravo,30,43.92,4654,47.18,Left-hand bat,1.0,-,-,2.00,rm,
S,Chanderpaul,156,51.88,26291,43.41,Left-hand bat,290.0,98.11,193.3,3.04,rls,
D,Ramdin,59,27.74,4839,49.88,Right-hand bat,-,-,-,-,-,
JO,Holder,1,45.00,155,58.06,Right-hand bat,20.0,25.00,60.0,2.50,rmf,
KAJ,Roach,26,9.34,956,34.20,Right-hand bat,853.2,27.04,51.2,3.16,rfm,
S,Shillingford,16,13.30,628,42.35,Right-hand bat,782.2,34.55,67.0,3.09,rob,
SJ,Benn,20,15.10,736,59.51,Left-hand bat,939.0,40.60,86.6,2.81,lo,
JE,Taylor,32,14.91,1135,59.11,Right-hand bat,934.3,34.45,60.2,3.42,rf,
