Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
FDM,Karunaratne,13,30.47,1299,53.96,Left-hand bat,2.0,-,-,2.50,rm,
JK,Silva,10,37.68,1678,42.66,Right-hand bat,-,-,-,-,-,
KC,Sangakkara,124,58.63,21232,54.13,Left-hand bat,14.0,-,-,3.50,rob,
DPMD,Jayawardene,145,50.18,22329,51.47,Right-hand bat,98.1,51.66,98.1,3.15,rm,
HDRL,Thirimanne,12,26.50,1266,41.86,Left-hand bat,4.0,-,-,6.75,rmf,
AD,Mathews,40,48.40,5402,48.38,Right-hand bat,359.0,60.66,119.6,3.04,rm,
LD,Chandimal,13,48.78,1585,58.48,Right-hand bat,-,-,-,-,rob,
KTGD,Prasad,13,16.17,449,61.24,Right-hand bat,345.2,50.82,74.0,4.12,rfm,
HMRKB,Herath,53,13.41,1563,49.77,Left-hand bat,2449.4,30.51,65.3,2.80,lo,
RMS,Eranga,13,13.00,335,38.80,Right-hand bat,482.5,31.79,59.1,3.22,rfm,
N,Pradeep,8,5.77,135,38.51,Right-hand bat,244.4,72.78,104.8,4.16,rfm,
AN,Cook,104,45.90,17288,46.99,Left-hand bat,1.0,-,-,1.00,-,
SD,Robson,2,42.75,371,46.09,Right-hand bat,-,-,-,-,rls,
GS,Ballance,3,45.20,464,48.70,Left-hand bat,-,-,-,-,rls,
IR,Bell,100,45.12,13848,49.53,Right-hand bat,18.0,76.00,108.0,4.22,rm,
JE,Root,17,41.86,2862,42.41,Right-hand bat,70.0,64.00,140.0,2.74,rob,
MM,Ali,2,54.00,392,41.32,Left-hand bat,52.0,60.33,104.0,3.48,rob,
MJ,Prior,77,41.00,6588,61.61,Right-hand bat,-,-,-,-,-,
CJ,Jordan,2,23.00,161,57.14,Right-hand bat,89.4,54.60,107.6,3.04,rfm,
SCJ,Broad,69,23.96,3207,65.01,Left-hand bat,2410.0,30.43,59.0,3.09,rfm,
LE,Plunkett,11,12.07,390,43.33,Right-hand bat,349.1,36.67,61.6,3.57,rf,
JM,Anderson,94,10.20,2195,38.13,Left-hand bat,3486.3,30.36,58.9,3.09,rfm,
