Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
BRM,Taylor,9,23.00,898,46.10,Right-hand bat,7.0,-,-,5.42,rob,
T,Duffin,1,29.00,136,42.64,Left-hand bat,-,-,-,-,rm,
H,Masakadza,14,25.44,1590,43.20,Right-hand bat,21.0,19.50,63.0,1.85,rm,
DD,Ebrahim,28,23.23,3069,39.36,Right-hand bat,-,-,-,-,rm,
T,Taibu,23,31.02,3101,41.01,Right-hand bat,8.0,27.00,48.0,3.37,rm,
HH,Streak,64,22.62,5309,37.06,Right-hand bat,2227.5,28.60,63.6,2.69,rfm,
CK,Coventry,1,13.00,37,70.27,Right-hand bat,-,-,-,-,rls,
AM,Blignaut,18,24.65,1171,67.37,Left-hand bat,508.0,36.11,58.6,3.69,rmf,
KM,Dabengwa,2,18.00,117,61.53,Left-hand bat,64.0,42.80,76.8,3.34,lo,
GM,Ewing,3,18.00,174,62.06,Right-hand bat,71.0,130.00,213.0,3.66,rob,
NB,Mahwire,9,16.22,337,43.32,Right-hand bat,187.3,51.25,70.3,4.37,rfm,
G,Gambhir,9,40.92,893,59.57,Left-hand bat,-,-,-,-,rls,
V,Sehwag,35,55.76,4287,72.84,Right-hand bat,98.3,120.33,197.0,3.66,rob,
R,Dravid,90,58.00,18423,42.19,Right-hand bat,20.0,39.00,120.0,1.95,rob,
VVS,Laxman,65,44.09,8174,50.17,Right-hand bat,42.0,100.00,252.0,2.38,rob,
SC,Ganguly,83,41.39,10273,49.15,Left-hand bat,388.2,51.76,93.2,3.33,rm,
Yuvraj,Singh,7,34.88,596,52.68,Left-hand bat,14.0,43.00,84.0,3.07,lo,
KD,Karthik,9,20.33,554,44.04,Right-hand bat,-,-,-,-,-,
IK,Pathan,14,21.80,810,40.37,Left-hand bat,507.5,29.62,56.4,3.15,lmf,
A,Kumble,96,17.13,4342,38.27,Right-hand bat,5092.0,28.29,65.8,2.57,rls,
Harbhajan,Singh,46,14.22,1115,68.87,Right-hand bat,2106.4,28.18,62.2,2.71,rob,
Z,Khan,39,12.27,813,55.84,Right-hand bat,1206.1,37.18,68.2,3.26,lfm,
